region,variety,process,moisture,elevation,target
el progreso,Bourbon,Washed / Wet,0.1200,low,good
el progreso,Bourbon,Washed / Wet,0.1200,low,fair
"el tumbador, san marcos",Catuai,Washed / Wet,0.1100,mid,good
huehuetenango,Bourbon,Natural / Dry,0.1100,mid,fair
huehuetenango,Bourbon,Washed / Wet,0.1200,high,fair
huehuetenango,Bourbon,Washed / Wet,0.1000,mid,fair
huehuetenango,Bourbon,Washed / Wet,0.1100,high,good
huehuetenango,Bourbon,Washed / Wet,0.1000,high,fair
huehuetenango,Bourbon,Washed / Wet,0.1100,high,great
huehuetenango,Caturra,Washed / Wet,0.0000,mid,great
huehuetenango,Caturra,Washed / Wet,0.1000,low,great
huehuetenango,Caturra,Washed / Wet,0.1100,mid,good
huehuetenango,Caturra,Washed / Wet,0.1200,high,great
huehuetenango,Caturra,Washed / Wet,0.1100,mid,good
huehuetenango,Caturra,Washed / Wet,0.1200,high,poor
huehuetenango,Pacamara,Natural / Dry,0.1100,high,good
huehuetenango,Pacamara,Washed / Wet,0.0900,high,fair
jalapa,Bourbon,Washed / Wet,0.1100,high,good
jalapa,Bourbon,Washed / Wet,0.1100,high,fair
jalapa,Pacas,Washed / Wet,0.1300,mid,fair
jalapa,Pacas,Washed / Wet,0.1200,mid,good
jalapa,Pacas,Washed / Wet,0.1100,mid,great
jalapa,Pacas,Washed / Wet,0.1200,mid,fair
"la reforma, san marcos",Bourbon,Washed / Wet,0.1000,mid,good
norte,Bourbon,Washed / Wet,0.1000,high,fair
norte,Bourbon,Washed / Wet,0.0900,high,poor
norte,Bourbon,Washed / Wet,0.1000,high,great
nuevo oriente,Catuai,Washed / Wet,0.1000,mid,great
nuevo oriente,Catuai,Washed / Wet,0.1100,mid,good
nuevo oriente,Catuai,Washed / Wet,0.1100,mid,good
nuevo oriente,Catuai,Washed / Wet,0.1100,mid,poor
nuevo oriente,Catuai,Washed / Wet,0.1000,mid,poor
nuevo oriente,Pacas,Washed / Wet,0.1100,mid,fair
nuevo oriente,Pacas,Washed / Wet,0.1100,high,good
occidente,Bourbon,Washed / Wet,0.1100,mid,poor
orient,Caturra,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Natural / Dry,0.1000,mid,great
oriente,Bourbon,Natural / Dry,0.1000,mid,good
oriente,Bourbon,other,0.1000,mid,great
oriente,Bourbon,other,0.1000,mid,great
oriente,Bourbon,Washed / Wet,0.1100,mid,great
oriente,Bourbon,Washed / Wet,0.0900,mid,great
oriente,Bourbon,Washed / Wet,0.1100,mid,great
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1000,mid,great
oriente,Bourbon,Washed / Wet,0.1100,mid,great
oriente,Bourbon,Washed / Wet,0.1200,mid,good
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1100,mid,great
oriente,Bourbon,Washed / Wet,0.1000,mid,good
oriente,Bourbon,Washed / Wet,0.0000,mid,fair
oriente,Bourbon,Washed / Wet,0.1100,mid,fair
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1000,high,good
oriente,Bourbon,Washed / Wet,0.1200,high,good
oriente,Bourbon,Washed / Wet,0.1100,mid,great
oriente,Bourbon,Washed / Wet,0.0000,mid,fair
oriente,Bourbon,Washed / Wet,0.1000,low,fair
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1200,mid,poor
oriente,Bourbon,Washed / Wet,0.1200,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1000,high,good
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1000,mid,good
oriente,Bourbon,Washed / Wet,0.1000,mid,fair
oriente,Bourbon,Washed / Wet,0.1000,mid,fair
oriente,Bourbon,Washed / Wet,0.1200,mid,fair
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1200,mid,fair
oriente,Bourbon,Washed / Wet,0.1000,mid,good
oriente,Bourbon,Washed / Wet,0.0000,mid,poor
oriente,Bourbon,Washed / Wet,0.1000,high,fair
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1000,mid,fair
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1000,mid,poor
